Hospital,Date,Bed Type,Status,Count
All SF Acute Hospitals,4/9/2020,Intensive Care,Available,110
All SF Acute Hospitals,4/9/2020,Intensive Care,COVID-19 (Confirmed & Suspected),44
All SF Acute Hospitals,4/9/2020,Intensive Care,Other Patients,125
All SF Acute Hospitals,4/9/2020,Acute Care,COVID-19 (Confirmed & Suspected),70
All SF Acute Hospitals,4/9/2020,Acute Care,Other Patients,365
All SF Acute Hospitals,4/9/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/9/2020,Acute Care Surge,Available,867
All SF Acute Hospitals,4/10/2020,Acute Care,Available,912
All SF Acute Hospitals,4/10/2020,Intensive Care,Available,134
All SF Acute Hospitals,4/10/2020,Intensive Care,COVID-19 (Confirmed & Suspected),42
All SF Acute Hospitals,4/10/2020,Intensive Care,Other Patients,103
All SF Acute Hospitals,4/10/2020,Acute Care,COVID-19 (Confirmed & Suspected),72
All SF Acute Hospitals,4/10/2020,Acute Care,Other Patients,318
All SF Acute Hospitals,4/10/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/10/2020,Acute Care Surge,Available,912
All SF Acute Hospitals,4/11/2020,Acute Care,Available,894
All SF Acute Hospitals,4/11/2020,Intensive Care,Available,141
All SF Acute Hospitals,4/11/2020,Intensive Care,COVID-19 (Confirmed & Suspected),38
All SF Acute Hospitals,4/11/2020,Intensive Care,Other Patients,100
All SF Acute Hospitals,4/11/2020,Acute Care,COVID-19 (Confirmed & Suspected),83
All SF Acute Hospitals,4/11/2020,Acute Care,Other Patients,325
All SF Acute Hospitals,4/11/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/11/2020,Acute Care Surge,Available,894
All SF Acute Hospitals,4/12/2020,Acute Care,Available,886
All SF Acute Hospitals,4/12/2020,Intensive Care,Available,134
All SF Acute Hospitals,4/12/2020,Intensive Care,COVID-19 (Confirmed & Suspected),40
All SF Acute Hospitals,4/12/2020,Intensive Care,Other Patients,105
All SF Acute Hospitals,4/12/2020,Acute Care,COVID-19 (Confirmed & Suspected),76
All SF Acute Hospitals,4/12/2020,Acute Care,Other Patients,340
All SF Acute Hospitals,4/12/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/12/2020,Acute Care Surge,Available,886
All SF Acute Hospitals,4/13/2020,Acute Care,Available,881
All SF Acute Hospitals,4/13/2020,Intensive Care,Available,142
All SF Acute Hospitals,4/13/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,4/13/2020,Intensive Care,Other Patients,104
All SF Acute Hospitals,4/13/2020,Acute Care,COVID-19 (Confirmed & Suspected),82
All SF Acute Hospitals,4/13/2020,Acute Care,Other Patients,339
All SF Acute Hospitals,4/13/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/13/2020,Acute Care Surge,Available,881
All SF Acute Hospitals,4/14/2020,Acute Care,Available,887
All SF Acute Hospitals,4/14/2020,Intensive Care,Available,147
All SF Acute Hospitals,4/14/2020,Intensive Care,COVID-19 (Confirmed & Suspected),32
All SF Acute Hospitals,4/14/2020,Intensive Care,Other Patients,100
All SF Acute Hospitals,4/14/2020,Acute Care,COVID-19 (Confirmed & Suspected),77
All SF Acute Hospitals,4/14/2020,Acute Care,Other Patients,338
All SF Acute Hospitals,4/14/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/14/2020,Acute Care Surge,Available,887
All SF Acute Hospitals,4/15/2020,Acute Care,Available,884
All SF Acute Hospitals,4/15/2020,Intensive Care,Available,133
All SF Acute Hospitals,4/15/2020,Intensive Care,COVID-19 (Confirmed & Suspected),37
All SF Acute Hospitals,4/15/2020,Intensive Care,Other Patients,109
All SF Acute Hospitals,4/15/2020,Acute Care,COVID-19 (Confirmed & Suspected),83
All SF Acute Hospitals,4/15/2020,Acute Care,Other Patients,335
All SF Acute Hospitals,4/15/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/15/2020,Acute Care Surge,Available,884
All SF Acute Hospitals,4/16/2020,Acute Care,Available,888
All SF Acute Hospitals,4/16/2020,Intensive Care,Available,144
All SF Acute Hospitals,4/16/2020,Intensive Care,COVID-19 (Confirmed & Suspected),37
All SF Acute Hospitals,4/16/2020,Intensive Care,Other Patients,98
All SF Acute Hospitals,4/16/2020,Acute Care,COVID-19 (Confirmed & Suspected),72
All SF Acute Hospitals,4/16/2020,Acute Care,Other Patients,342
All SF Acute Hospitals,4/16/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/16/2020,Acute Care Surge,Available,888
All SF Acute Hospitals,4/17/2020,Acute Care,Available,819
All SF Acute Hospitals,4/17/2020,Intensive Care,Available,143
All SF Acute Hospitals,4/17/2020,Intensive Care,COVID-19 (Confirmed & Suspected),35
All SF Acute Hospitals,4/17/2020,Intensive Care,Other Patients,101
All SF Acute Hospitals,4/17/2020,Acute Care,COVID-19 (Confirmed & Suspected),62
All SF Acute Hospitals,4/17/2020,Acute Care,Other Patients,421
All SF Acute Hospitals,4/17/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/17/2020,Acute Care Surge,Available,819
All SF Acute Hospitals,4/18/2020,Acute Care,Available,801
All SF Acute Hospitals,4/18/2020,Intensive Care,Available,150
All SF Acute Hospitals,4/18/2020,Intensive Care,COVID-19 (Confirmed & Suspected),36
All SF Acute Hospitals,4/18/2020,Intensive Care,Other Patients,93
All SF Acute Hospitals,4/18/2020,Acute Care,COVID-19 (Confirmed & Suspected),74
All SF Acute Hospitals,4/18/2020,Acute Care,Other Patients,427
All SF Acute Hospitals,4/18/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/18/2020,Acute Care Surge,Available,801
All SF Acute Hospitals,4/19/2020,Acute Care,Available,800
All SF Acute Hospitals,4/19/2020,Intensive Care,Available,147
All SF Acute Hospitals,4/19/2020,Intensive Care,COVID-19 (Confirmed & Suspected),34
All SF Acute Hospitals,4/19/2020,Intensive Care,Other Patients,98
All SF Acute Hospitals,4/19/2020,Acute Care,COVID-19 (Confirmed & Suspected),70
All SF Acute Hospitals,4/19/2020,Acute Care,Other Patients,432
All SF Acute Hospitals,4/19/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/19/2020,Acute Care Surge,Available,800
All SF Acute Hospitals,4/20/2020,Acute Care,Available,752
All SF Acute Hospitals,4/20/2020,Intensive Care,Available,131
All SF Acute Hospitals,4/20/2020,Intensive Care,COVID-19 (Confirmed & Suspected),30
All SF Acute Hospitals,4/20/2020,Intensive Care,Other Patients,118
All SF Acute Hospitals,4/20/2020,Acute Care,COVID-19 (Confirmed & Suspected),82
All SF Acute Hospitals,4/20/2020,Acute Care,Other Patients,468
All SF Acute Hospitals,4/20/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/20/2020,Acute Care Surge,Available,752
All SF Acute Hospitals,4/21/2020,Acute Care,Available,744
All SF Acute Hospitals,4/21/2020,Intensive Care,Available,125
All SF Acute Hospitals,4/21/2020,Intensive Care,COVID-19 (Confirmed & Suspected),31
All SF Acute Hospitals,4/21/2020,Intensive Care,Other Patients,123
All SF Acute Hospitals,4/21/2020,Acute Care,COVID-19 (Confirmed & Suspected),71
All SF Acute Hospitals,4/21/2020,Acute Care,Other Patients,487
All SF Acute Hospitals,4/21/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/21/2020,Acute Care Surge,Available,744
All SF Acute Hospitals,4/22/2020,Acute Care,Available,746
All SF Acute Hospitals,4/22/2020,Intensive Care,Available,133
All SF Acute Hospitals,4/22/2020,Intensive Care,COVID-19 (Confirmed & Suspected),39
All SF Acute Hospitals,4/22/2020,Intensive Care,Other Patients,107
All SF Acute Hospitals,4/22/2020,Acute Care,COVID-19 (Confirmed & Suspected),67
All SF Acute Hospitals,4/22/2020,Acute Care,Other Patients,489
All SF Acute Hospitals,4/22/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/22/2020,Acute Care Surge,Available,746
All SF Acute Hospitals,4/23/2020,Acute Care,Available,729
All SF Acute Hospitals,4/23/2020,Intensive Care,Available,155
All SF Acute Hospitals,4/23/2020,Intensive Care,COVID-19 (Confirmed & Suspected),34
All SF Acute Hospitals,4/23/2020,Intensive Care,Other Patients,90
All SF Acute Hospitals,4/23/2020,Acute Care,COVID-19 (Confirmed & Suspected),66
All SF Acute Hospitals,4/23/2020,Acute Care,Other Patients,507
All SF Acute Hospitals,4/23/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/23/2020,Acute Care Surge,Available,729
All SF Acute Hospitals,4/24/2020,Acute Care,Available,757
All SF Acute Hospitals,4/24/2020,Intensive Care,Available,143
All SF Acute Hospitals,4/24/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,4/24/2020,Intensive Care,Other Patients,103
All SF Acute Hospitals,4/24/2020,Acute Care,COVID-19 (Confirmed & Suspected),61
All SF Acute Hospitals,4/24/2020,Acute Care,Other Patients,484
All SF Acute Hospitals,4/24/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/24/2020,Acute Care Surge,Available,757
All SF Acute Hospitals,4/25/2020,Acute Care,Available,749
All SF Acute Hospitals,4/25/2020,Intensive Care,Available,143
All SF Acute Hospitals,4/25/2020,Intensive Care,COVID-19 (Confirmed & Suspected),35
All SF Acute Hospitals,4/25/2020,Intensive Care,Other Patients,101
All SF Acute Hospitals,4/25/2020,Acute Care,COVID-19 (Confirmed & Suspected),70
All SF Acute Hospitals,4/25/2020,Acute Care,Other Patients,483
All SF Acute Hospitals,4/25/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/25/2020,Acute Care Surge,Available,749
All SF Acute Hospitals,4/26/2020,Acute Care,Available,731
All SF Acute Hospitals,4/26/2020,Intensive Care,Available,158
All SF Acute Hospitals,4/26/2020,Intensive Care,COVID-19 (Confirmed & Suspected),31
All SF Acute Hospitals,4/26/2020,Intensive Care,Other Patients,90
All SF Acute Hospitals,4/26/2020,Acute Care,COVID-19 (Confirmed & Suspected),69
All SF Acute Hospitals,4/26/2020,Acute Care,Other Patients,502
All SF Acute Hospitals,4/26/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/26/2020,Acute Care Surge,Available,731
All SF Acute Hospitals,4/27/2020,Acute Care,Available,740
All SF Acute Hospitals,4/27/2020,Intensive Care,Available,162
All SF Acute Hospitals,4/27/2020,Intensive Care,COVID-19 (Confirmed & Suspected),35
All SF Acute Hospitals,4/27/2020,Intensive Care,Other Patients,82
All SF Acute Hospitals,4/27/2020,Acute Care,COVID-19 (Confirmed & Suspected),71
All SF Acute Hospitals,4/27/2020,Acute Care,Other Patients,491
All SF Acute Hospitals,4/27/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/27/2020,Acute Care Surge,Available,740
All SF Acute Hospitals,4/28/2020,Acute Care,Available,710
All SF Acute Hospitals,4/28/2020,Intensive Care,Available,110
All SF Acute Hospitals,4/28/2020,Intensive Care,COVID-19 (Confirmed & Suspected),35
All SF Acute Hospitals,4/28/2020,Intensive Care,Other Patients,134
All SF Acute Hospitals,4/28/2020,Acute Care,COVID-19 (Confirmed & Suspected),77
All SF Acute Hospitals,4/28/2020,Acute Care,Other Patients,515
All SF Acute Hospitals,4/28/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/28/2020,Acute Care Surge,Available,710
All SF Acute Hospitals,4/29/2020,Acute Care,Available,712
All SF Acute Hospitals,4/29/2020,Intensive Care,Available,107
All SF Acute Hospitals,4/29/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,4/29/2020,Intensive Care,Other Patients,139
All SF Acute Hospitals,4/29/2020,Acute Care,COVID-19 (Confirmed & Suspected),75
All SF Acute Hospitals,4/29/2020,Acute Care,Other Patients,515
All SF Acute Hospitals,4/29/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/29/2020,Acute Care Surge,Available,712
All SF Acute Hospitals,4/30/2020,Acute Care,Available,695
All SF Acute Hospitals,4/30/2020,Intensive Care,Available,109
All SF Acute Hospitals,4/30/2020,Intensive Care,COVID-19 (Confirmed & Suspected),32
All SF Acute Hospitals,4/30/2020,Intensive Care,Other Patients,138
All SF Acute Hospitals,4/30/2020,Acute Care,COVID-19 (Confirmed & Suspected),70
All SF Acute Hospitals,4/30/2020,Acute Care,Other Patients,537
All SF Acute Hospitals,4/30/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,4/30/2020,Acute Care Surge,Available,695
All SF Acute Hospitals,5/1/2020,Acute Care,Available,740
All SF Acute Hospitals,5/1/2020,Intensive Care,Available,99
All SF Acute Hospitals,5/1/2020,Intensive Care,COVID-19 (Confirmed & Suspected),35
All SF Acute Hospitals,5/1/2020,Intensive Care,Other Patients,145
All SF Acute Hospitals,5/1/2020,Acute Care,COVID-19 (Confirmed & Suspected),76
All SF Acute Hospitals,5/1/2020,Acute Care,Other Patients,486
All SF Acute Hospitals,5/1/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/1/2020,Acute Care Surge,Available,740
All SF Acute Hospitals,5/2/2020,Acute Care,Available,754
All SF Acute Hospitals,5/2/2020,Intensive Care,Available,102
All SF Acute Hospitals,5/2/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,5/2/2020,Intensive Care,Other Patients,144
All SF Acute Hospitals,5/2/2020,Acute Care,COVID-19 (Confirmed & Suspected),74
All SF Acute Hospitals,5/2/2020,Acute Care,Other Patients,474
All SF Acute Hospitals,5/2/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/2/2020,Acute Care Surge,Available,754
All SF Acute Hospitals,5/3/2020,Acute Care,Available,757
All SF Acute Hospitals,5/3/2020,Intensive Care,Available,114
All SF Acute Hospitals,5/3/2020,Intensive Care,COVID-19 (Confirmed & Suspected),28
All SF Acute Hospitals,5/3/2020,Intensive Care,Other Patients,137
All SF Acute Hospitals,5/3/2020,Acute Care,COVID-19 (Confirmed & Suspected),67
All SF Acute Hospitals,5/3/2020,Acute Care,Other Patients,478
All SF Acute Hospitals,5/3/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/3/2020,Acute Care Surge,Available,757
All SF Acute Hospitals,5/4/2020,Acute Care,Available,716
All SF Acute Hospitals,5/4/2020,Intensive Care,Available,115
All SF Acute Hospitals,5/4/2020,Intensive Care,COVID-19 (Confirmed & Suspected),27
All SF Acute Hospitals,5/4/2020,Intensive Care,Other Patients,137
All SF Acute Hospitals,5/4/2020,Acute Care,COVID-19 (Confirmed & Suspected),68
All SF Acute Hospitals,5/4/2020,Acute Care,Other Patients,518
All SF Acute Hospitals,5/4/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/4/2020,Acute Care Surge,Available,716
All SF Acute Hospitals,5/5/2020,Acute Care,Available,726
All SF Acute Hospitals,5/5/2020,Intensive Care,Available,110
All SF Acute Hospitals,5/5/2020,Intensive Care,COVID-19 (Confirmed & Suspected),35
All SF Acute Hospitals,5/5/2020,Intensive Care,Other Patients,134
All SF Acute Hospitals,5/5/2020,Acute Care,COVID-19 (Confirmed & Suspected),67
All SF Acute Hospitals,5/5/2020,Acute Care,Other Patients,509
All SF Acute Hospitals,5/5/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/5/2020,Acute Care Surge,Available,726
All SF Acute Hospitals,5/6/2020,Acute Care,Available,745
All SF Acute Hospitals,5/6/2020,Intensive Care,Available,106
All SF Acute Hospitals,5/6/2020,Intensive Care,COVID-19 (Confirmed & Suspected),31
All SF Acute Hospitals,5/6/2020,Intensive Care,Other Patients,142
All SF Acute Hospitals,5/6/2020,Acute Care,COVID-19 (Confirmed & Suspected),66
All SF Acute Hospitals,5/6/2020,Acute Care,Other Patients,491
All SF Acute Hospitals,5/6/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/6/2020,Acute Care Surge,Available,745
All SF Acute Hospitals,5/7/2020,Acute Care,Available,729
All SF Acute Hospitals,5/7/2020,Intensive Care,Available,90
All SF Acute Hospitals,5/7/2020,Intensive Care,COVID-19 (Confirmed & Suspected),31
All SF Acute Hospitals,5/7/2020,Intensive Care,Other Patients,158
All SF Acute Hospitals,5/7/2020,Acute Care,COVID-19 (Confirmed & Suspected),61
All SF Acute Hospitals,5/7/2020,Acute Care,Other Patients,512
All SF Acute Hospitals,5/7/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/7/2020,Acute Care Surge,Available,729
All SF Acute Hospitals,5/8/2020,Acute Care,Available,751
All SF Acute Hospitals,5/8/2020,Intensive Care,Available,88
All SF Acute Hospitals,5/8/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,5/8/2020,Intensive Care,Other Patients,158
All SF Acute Hospitals,5/8/2020,Acute Care,COVID-19 (Confirmed & Suspected),61
All SF Acute Hospitals,5/8/2020,Acute Care,Other Patients,490
All SF Acute Hospitals,5/8/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/8/2020,Acute Care Surge,Available,751
All SF Acute Hospitals,5/9/2020,Acute Care,Available,752
All SF Acute Hospitals,5/9/2020,Intensive Care,Available,95
All SF Acute Hospitals,5/9/2020,Intensive Care,COVID-19 (Confirmed & Suspected),31
All SF Acute Hospitals,5/9/2020,Intensive Care,Other Patients,153
All SF Acute Hospitals,5/9/2020,Acute Care,COVID-19 (Confirmed & Suspected),62
All SF Acute Hospitals,5/9/2020,Acute Care,Other Patients,488
All SF Acute Hospitals,5/9/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/9/2020,Acute Care Surge,Available,752
All SF Acute Hospitals,5/10/2020,Acute Care,Available,752
All SF Acute Hospitals,5/10/2020,Intensive Care,Available,108
All SF Acute Hospitals,5/10/2020,Intensive Care,COVID-19 (Confirmed & Suspected),33
All SF Acute Hospitals,5/10/2020,Intensive Care,Other Patients,138
All SF Acute Hospitals,5/10/2020,Acute Care,COVID-19 (Confirmed & Suspected),62
All SF Acute Hospitals,5/10/2020,Acute Care,Other Patients,488
All SF Acute Hospitals,5/10/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/10/2020,Acute Care Surge,Available,752
All SF Acute Hospitals,5/11/2020,Acute Care,Available,728
All SF Acute Hospitals,5/11/2020,Intensive Care,Available,110
All SF Acute Hospitals,5/11/2020,Intensive Care,COVID-19 (Confirmed & Suspected),30
All SF Acute Hospitals,5/11/2020,Intensive Care,Other Patients,139
All SF Acute Hospitals,5/11/2020,Acute Care,COVID-19 (Confirmed & Suspected),72
All SF Acute Hospitals,5/11/2020,Acute Care,Other Patients,502
All SF Acute Hospitals,5/11/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/11/2020,Acute Care Surge,Available,728
All SF Acute Hospitals,5/12/2020,Acute Care,Available,703
All SF Acute Hospitals,5/12/2020,Intensive Care,Available,106
All SF Acute Hospitals,5/12/2020,Intensive Care,COVID-19 (Confirmed & Suspected),31
All SF Acute Hospitals,5/12/2020,Intensive Care,Other Patients,142
All SF Acute Hospitals,5/12/2020,Acute Care,COVID-19 (Confirmed & Suspected),60
All SF Acute Hospitals,5/12/2020,Acute Care,Other Patients,539
All SF Acute Hospitals,5/12/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/12/2020,Acute Care Surge,Available,703
All SF Acute Hospitals,5/13/2020,Acute Care,Available,742
All SF Acute Hospitals,5/13/2020,Intensive Care,Available,112
All SF Acute Hospitals,5/13/2020,Intensive Care,COVID-19 (Confirmed & Suspected),29
All SF Acute Hospitals,5/13/2020,Intensive Care,Other Patients,138
All SF Acute Hospitals,5/13/2020,Acute Care,COVID-19 (Confirmed & Suspected),65
All SF Acute Hospitals,5/13/2020,Acute Care,Other Patients,495
All SF Acute Hospitals,5/13/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/13/2020,Acute Care Surge,Available,742
All SF Acute Hospitals,5/14/2020,Acute Care,Available,689
All SF Acute Hospitals,5/14/2020,Intensive Care,Available,92
All SF Acute Hospitals,5/14/2020,Intensive Care,COVID-19 (Confirmed & Suspected),29
All SF Acute Hospitals,5/14/2020,Intensive Care,Other Patients,158
All SF Acute Hospitals,5/14/2020,Acute Care,COVID-19 (Confirmed & Suspected),65
All SF Acute Hospitals,5/14/2020,Acute Care,Other Patients,548
All SF Acute Hospitals,5/14/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/14/2020,Acute Care Surge,Available,689
All SF Acute Hospitals,5/15/2020,Acute Care,Available,715
All SF Acute Hospitals,5/15/2020,Intensive Care,Available,97
All SF Acute Hospitals,5/15/2020,Intensive Care,COVID-19 (Confirmed & Suspected),25
All SF Acute Hospitals,5/15/2020,Intensive Care,Other Patients,157
All SF Acute Hospitals,5/15/2020,Acute Care,COVID-19 (Confirmed & Suspected),55
All SF Acute Hospitals,5/15/2020,Acute Care,Other Patients,532
All SF Acute Hospitals,5/15/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/15/2020,Acute Care Surge,Available,715
All SF Acute Hospitals,5/16/2020,Acute Care,Available,722
All SF Acute Hospitals,5/16/2020,Intensive Care,Available,96
All SF Acute Hospitals,5/16/2020,Intensive Care,COVID-19 (Confirmed & Suspected),24
All SF Acute Hospitals,5/16/2020,Intensive Care,Other Patients,159
All SF Acute Hospitals,5/16/2020,Acute Care,COVID-19 (Confirmed & Suspected),51
All SF Acute Hospitals,5/16/2020,Acute Care,Other Patients,529
All SF Acute Hospitals,5/16/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/16/2020,Acute Care Surge,Available,722
All SF Acute Hospitals,5/17/2020,Acute Care,Available,675
All SF Acute Hospitals,5/17/2020,Intensive Care,Available,104
All SF Acute Hospitals,5/17/2020,Intensive Care,COVID-19 (Confirmed & Suspected),28
All SF Acute Hospitals,5/17/2020,Intensive Care,Other Patients,147
All SF Acute Hospitals,5/17/2020,Acute Care,COVID-19 (Confirmed & Suspected),63
All SF Acute Hospitals,5/17/2020,Acute Care,Other Patients,564
All SF Acute Hospitals,5/17/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/17/2020,Acute Care Surge,Available,675
All SF Acute Hospitals,5/18/2020,Acute Care,Available,702
All SF Acute Hospitals,5/18/2020,Intensive Care,Available,109
All SF Acute Hospitals,5/18/2020,Intensive Care,COVID-19 (Confirmed & Suspected),22
All SF Acute Hospitals,5/18/2020,Intensive Care,Other Patients,148
All SF Acute Hospitals,5/18/2020,Acute Care,COVID-19 (Confirmed & Suspected),56
All SF Acute Hospitals,5/18/2020,Acute Care,Other Patients,544
All SF Acute Hospitals,5/18/2020,Intensive Care Surge,Available,312
All SF Acute Hospitals,5/18/2020,Acute Care Surge,Available,702
All SF Acute Hospitals,5/19/2020,Acute Care,Available,676
All SF Acute Hospitals,5/19/2020,Intensive Care,Available,107
All SF Acute Hospitals,5/19/2020,Intensive Care,COVID-19 (Confirmed & Suspected),28
All SF Acute Hospitals,5/19/2020,Intensive Care,Other Patients,144
All SF Acute Hospitals,5/19/2020,Acute Care,COVID-19 (Confirmed & Suspected),48
All SF Acute Hospitals,5/19/2020,Acute Care,Other Patients,578
